00:41:43	25.12 C
00:44:26	25.06 C
00:49:08	22.31 C
00:49:09	22.19 C
00:49:10	22.19 C
00:49:11	22.00 C
00:49:12	21.94 C
00:49:13	21.94 C
00:49:14	21.94 C
00:49:15	21.94 C
00:49:16	21.94 C
00:49:17	21.94 C
00:49:18	21.94 C
00:49:19	21.94 C
00:49:20	21.94 C
00:49:21	21.94 C
00:49:22	21.88 C
00:49:23	21.81 C
00:49:24	21.75 C
00:49:25	21.75 C
00:49:26	21.69 C
00:49:27	21.69 C
00:49:28	21.62 C
00:49:29	21.62 C
00:49:30	21.56 C
00:49:31	21.50 C
00:49:32	21.50 C
00:49:33	21.44 C
00:49:34	21.44 C
00:49:35	21.38 C
00:49:36	21.31 C
00:49:37	21.31 C
00:49:38	21.25 C
00:49:39	21.25 C
00:49:40	21.25 C
00:49:41	21.25 C
00:49:42	21.25 C
00:49:43	21.19 C
00:49:44	21.12 C
00:49:45	21.06 C
00:49:46	21.00 C
00:49:47	21.00 C
00:49:48	21.00 C
00:49:49	20.94 C
00:49:50	20.81 C
00:49:51	20.81 C
00:49:52	20.81 C
00:49:53	20.81 C
00:49:54	20.81 C
00:49:55	20.81 C
00:49:56	20.81 C
00:49:57	20.81 C
00:49:58	20.81 C
00:49:59	20.81 C
00:50:00	20.75 C
00:50:01	20.75 C
00:50:02	20.69 C
00:50:03	20.69 C
00:50:04	20.62 C
00:50:05	20.56 C
00:50:06	20.56 C
00:50:07	20.56 C
00:50:08	20.50 C
00:50:09	20.50 C
00:50:10	20.50 C
00:50:11	20.44 C
00:50:12	20.44 C
00:50:13	20.38 C
00:50:14	20.38 C
00:50:15	20.25 C
00:50:16	20.31 C
00:50:17	20.25 C
00:50:18	20.31 C
00:50:19	20.31 C
00:50:20	20.31 C
00:50:21	20.31 C
00:50:22	20.31 C
00:50:24	20.25 C
00:50:25	20.25 C
00:50:26	20.19 C
00:50:27	20.19 C
00:50:28	20.12 C
00:50:29	20.12 C
00:50:30	20.06 C
00:50:31	20.06 C
00:50:32	20.00 C
00:50:33	20.00 C
00:50:34	20.00 C
00:50:35	20.00 C
00:50:36	20.00 C
00:50:37	20.00 C
